pais,continente,region,poblacion,PIB
Monaco,Europe,Western Europe,32543.0,27000.0
Mongolia,Asia,Eastern Asia,2832224.0,1800.0
Montserrat,Americas,Latin America and the Caribbean,9439.0,3400.0
Morocco,Africa,Northern Africa,33241259.0,4000.0
Mozambique,Africa,Sub-Saharan Africa,19686505.0,1200.0
Namibia,Africa,Sub-Saharan Africa,2044147.0,7200.0
Nauru,Oceania,Micronesia,13287.0,5000.0
Nepal,Asia,Southern Asia,28287147.0,1400.0
Netherlands,Europe,Western Europe,16491461.0,28600.0
New Caledonia,Oceania,Melanesia,219246.0,15000.0
New Zealand,Oceania,Australia and New Zealand,4076140.0,21600.0
Nicaragua,Americas,Latin America and the Caribbean,5570129.0,2300.0
Niger,Africa,Sub-Saharan Africa,12525094.0,800.0
Nigeria,Africa,Sub-Saharan Africa,131859731.0,900.0
Macedonia,Europe,Southern Europe,2050554.0,6700.0
Norway,Europe,Northern Europe,4610820.0,37800.0
Oman,Asia,Western Asia,3102229.0,13100.0
Pakistan,Asia,Southern Asia,165803560.0,2100.0
Palau,Oceania,Micronesia,20579.0,9000.0
Panama,Americas,Latin America and the Caribbean,3191319.0,6300.0
Papua New Guinea,Oceania,Melanesia,5670544.0,2200.0
Paraguay,Americas,Latin America and the Caribbean,6506464.0,4700.0
Peru,Americas,Latin America and the Caribbean,28302603.0,5100.0
Philippines,Asia,South-eastern Asia,89468677.0,4600.0
Poland,Europe,Eastern Europe,38536869.0,11100.0
Portugal,Europe,Southern Europe,10605870.0,18000.0
Puerto Rico,Americas,Latin America and the Caribbean,3927188.0,16800.0
Qatar,Asia,Western Asia,885359.0,21500.0
Romania,Europe,Eastern Europe,22303552.0,7000.0
Russia,Europe,Eastern Europe,142893540.0,8900.0
Rwanda,Africa,Sub-Saharan Africa,8648248.0,1300.0
Saint Lucia,Americas,Latin America and the Caribbean,168458.0,5400.0
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,117848.0,2900.0
Samoa,Oceania,Polynesia,,5600.0
San Marino,Europe,Southern Europe,29251.0,34600.0
Saudi Arabia,Asia,Western Asia,27019731.0,11800.0
Senegal,Africa,Sub-Saharan Africa,11987121.0,1600.0
Serbia,Europe,Southern Europe,9396411.0,2200.0
Seychelles,Africa,Sub-Saharan Africa,81541.0,7800.0
Sierra Leone,Africa,Sub-Saharan Africa,6005250.0,500.0
Singapore,Asia,South-eastern Asia,4492150.0,23700.0
Slovakia,Europe,Eastern Europe,5439448.0,13300.0
Slovenia,Europe,Southern Europe,2010347.0,19000.0
Solomon Islands,Oceania,Melanesia,552438.0,1700.0
Somalia,Africa,Sub-Saharan Africa,8863338.0,500.0
South Africa,Africa,Sub-Saharan Africa,44187637.0,10700.0
Spain,Europe,Southern Europe,40397842.0,22000.0
Sri Lanka,Asia,Southern Asia,20222240.0,3700.0
Sudan,Africa,Northern Africa,41236378.0,
Suriname,Americas,Latin America and the Caribbean,439117.0,4000.0
Sweden,Europe,Northern Europe,9016596.0,26800.0
Switzerland,Europe,Western Europe,7523934.0,32700.0
Syria,Asia,Western Asia,18881361.0,3300.0
Taiwan,Asia,Eastern Asia,23036087.0,23400.0
Tajikistan,Asia,Central Asia,7320815.0,1000.0
Tanzania,Africa,Sub-Saharan Africa,37445392.0,600.0
Thailand,Asia,South-eastern Asia,64631595.0,7400.0
Togo,Africa,Sub-Saharan Africa,5548702.0,
Tonga,Oceania,Polynesia,114689.0,2200.0
Tunisia,Africa,Northern Africa,10175014.0,6900.0
Turkey,Asia,Western Asia,70413958.0,6700.0
Turkmenistan,Asia,Central Asia,5042920.0,5800.0
Tuvalu,Oceania,Polynesia,11810.0,1100.0
Uganda,Africa,Sub-Saharan Africa,28195754.0,1400.0
Ukraine,Europe,Eastern Europe,46710816.0,5400.0
United Arab Emirates,Asia,Western Asia,2602713.0,23200.0
United Kingdom,Europe,Northern Europe,60609153.0,27700.0
United States,Americas,Northern America,298444215.0,37800.0
Uruguay,Americas,Latin America and the Caribbean,3431932.0,12800.0
Uzbekistan,Asia,Central Asia,27307134.0,1700.0
Vanuatu,Oceania,Melanesia,208869.0,2900.0
Venezuela,Americas,Latin America and the Caribbean,25730435.0,4800.0
Vietnam,Asia,South-eastern Asia,84402966.0,2500.0
Wallis and Futuna,Oceania,Polynesia,16025.0,3700.0
Yemen,Asia,Western Asia,21456188.0,800.0
Zambia,Africa,Sub-Saharan Africa,11502010.0,800.0
Zimbabwe,Africa,Sub-Saharan Africa,12236805.0,1900.0
Spain,Europe,Southern Europe,40397842.0,22000.0
